PE Exam,First Time Volume,First Time Pass Rate (%),Repeat Volume,Repeat Pass Rate (%)
Agricultural and Biological,33,88,0,0
Chemical,343,62,87,34
Civil: Construction,1834,51,834,38
Civil: Geotechnical,1131,52,420,30
Civil: Structural,3224,58,1071,40
Civil: Transportation,3651,64,1187,42
Civil: Water Resources and Environmental,3797,66,1109,44
Control Systems,175,67,49,43
Electrical and Computer: Computer Engineering,45,49,0,0
"Electrical and Computer: Electronics, Controls, and Communications",208,69,0,0
Electrical and Computer: Power,1842,59,718,42
Environmental,593,73,162,48
Fire Protection,236,82,22,59
Industrial and Systems,104,66,23,35
Mechanical: HVAC and Refrigeration,1206,71,285,49
Mechanical: Machine Design and Materials,656,70,130,47
Mechanical: Thermal and Fluid Systems,742,70,184,48
Metallurgical and Materials,56,82,12,25
Mining and Mineral Processing,65,51,0,0
Nuclear,17,53,2,50
Petroleum,86,56,30,27
